,Test Acc,Test Balanced Acc,CV Acc,CV Balanced ACC
LR,0.8770148197264364,0.8203589001712064,0.8770148197264364,0.8203589001712064
RF,0.8766829504543043,0.8443240686492111,0.8767539421224267,0.8461568447861734
CART,0.8606745475724777,0.8221559843810902,0.861168267172738,0.8223173980795313
Adaboost,0.8674693565342476,0.8051093914783334,0.8674693565342476,0.8051093914783332
Baseline,0.6030748891864853,0.5375,0.6030748891864853,0.5375
