,Test Acc,Test Balanced Acc,CV Acc,CV Balanced ACC
LR,0.9298704776744412,0.929885131088541,0.88089589947344,0.869768086761952
RF,0.9112577299508204,0.9120501356718309,0.8798960438390742,0.879035076187512
CART,0.8567220139260846,0.8582144769628695,0.8727662143720032,0.8683296834880336
Adaboost,0.934812776939183,0.938213445703601,0.8841088744104595,0.8748896275679527
Baseline,0.5220090568242683,0.5220090568242683,0.6169903430523273,0.5238095238095238
